Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score;Visibility (domain or restricted);Published;Publishing properties
female-first-names-2001;False;Female first names 2001;<p>Female first names registered at the City of Brussels in 2001.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"first name;female;girl";Licence Ouverte (Etalab);en;;2015-11-03T09:46:31+01:00;2018-01-07T23:55:22+01:00;2023-01-31T19:12:38.868000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1342;17318;0;7547;135;0;0;3.4;domain;True;manual
female-first-names-2000;False;Female first names 2000;<p>Female first names registered at the City of Brussels in 2000.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"first name;female;girl";Licence Ouverte (Etalab);en;;2015-11-03T09:46:31+01:00;2018-01-07T23:55:25+01:00;2023-01-31T19:12:39.309000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1184;15048;0;7862;152;0;0;3.5;domain;True;manual
population-europeenne-feminine-a-bruxelles;False;Population européenne féminine à Bruxelles;<p>Evolution de la population originaire des différents pays d'Europe (femmes à Bruxelles (Ville de Bruxelles) pour la période 2009-2014. </p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"population;Europe;habitant";Licence Ouverte (Etalab);fr;;2016-03-16T10:53:28+01:00;2018-01-07T23:56:10+01:00;2023-01-31T19:12:41.400000+01:00;Ville de Bruxelles/Démographie;http://www.bruxelles.be/6104;;28;1722;0;11193;178;0;0;4.1;domain;True;manual
male-first-names-2000;False;Male first names 2000;<p>Male first names registered at the City of Brussels in 2000.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"male;first name;birth";Licence Ouverte (Etalab);en;;2015-11-03T09:37:44+01:00;2018-01-08T00:03:57+01:00;2023-01-31T19:12:39.114000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1176;15036;0;7949;196;0;0;3.6;domain;True;manual
vrouwelijke-voornamen-2000;False;Vrouwelijke voornamen 2000;<p>Vrouwelijke voornamen geregistreerd bij de Stad Brussel in 2000.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"voornaam;meisje";Licence Ouverte (Etalab);nl;;2015-11-03T09:19:26+01:00;2018-01-07T23:52:46+01:00;2023-01-31T19:12:39.270000+01:00;Stad Brussel/Demografie;www.brussel.be/4840;;1184;15048;0;10672;139;0;0;4.0;domain;True;manual
poubellesintelligentes;False;Poubelles intelligentes;<p>Poubelles intelligentes de la Ville de Bruxelles.</p>;Environnement, Propreté,Internet, TIC;"propreté;poubelle;smart city";Licence Ouverte (Etalab);fr;;2015-12-03T13:16:15+01:00;;2023-01-31T19:12:39.983000+01:00;Ville de Bruxelles/Propreté;;;0;0;0;10581;357;0;0;4.3;domain;False;manual
references-hopitaux;False;Références - Hôpitaux;<p>Références de la centrale d'achat et de marchés informatiques de GIAL, centre informatique de la Ville de Bruxelles.</p>;Internet, TIC;"achat;marché;GIAL";Licence Ouverte (Etalab);fr;;2016-04-28T14:27:46+02:00;2018-01-08T00:07:58+01:00;2023-01-31T19:12:42.388000+01:00;GIAL;http://www.gial.be/fr/references;;12;2094;0;16603;229;0;0;5.0;domain;True;manual
test-quartiers;False;Fiets/Vélo: busbanen/fietsstroken - bandes bus/bandes cyclables;<p>Fiets: busbanen/fietsstroken<p><p>Vélo : bandes bus/bandes cyclables</p></p></p>;Mobilité, Transports;"fiets;vélo;cycliste";;fr;;2018-05-14T14:38:29+02:00;2018-05-24T11:33:08+02:00;2023-01-31T19:12:42.649000+01:00;;;;26;10195;0;16929;208;0;0;5.0;domain;True;manual
mannelijke-voornamen-20150;False;Mannelijke voornamen 2015;<p>Mannelijke voornamen geregistreerd bij de Stad Brussel in 2015.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"voornaam;mannelijk";Licence Ouverte (Etalab);nl;;2016-01-15T14:26:20+01:00;2018-01-07T23:46:07+01:00;2023-01-31T19:12:40.394000+01:00;Stad Brussel/Demografie;;;1830;22964;0;11591;182;0;0;4.2;domain;True;manual
population-europeenne-a-bruxelles;False;Population européenne masculine à Bruxelles;<p>Evolution de la population originaire des différents pays d'Europe (hommes) à Bruxelles (Ville de Bruxelles) pour la période 2009-2014. </p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"population;Europe;habitant";Licence Ouverte (Etalab);fr;;2016-03-16T10:02:42+01:00;2018-01-08T00:04:22+01:00;2023-01-31T19:12:41.400000+01:00;Ville de Bruxelles/Démographie;http://www.bruxelles.be/6104;;28;1713;0;9376;187;0;0;3.9;domain;True;manual
food-trucks-copie0;False;Food trucks – copie;<p>Localisation des emplacements pour les food trucks sélectionnés par la Ville de Bruxelles.</p>;Economie, Business, PME, Développement économique, Emploi;;Licence Ouverte (Etalab);fr;;2017-04-03T13:18:35+02:00;;2023-01-31T19:12:42.994000+01:00;Ville de Bruxelles/Commerce;http://http://www.bruxelles.be/8421;;0;0;0;0;0;0;0;0.0;domain;False;manual
europese-vrouwelijke-bevolking-in-brussel;False;Europese vrouwelijke bevolking in Brussel;<p>Evolutie van de bevolking afkomstig van de verschillende landen van Europa (vrouwen) voor de periode 2009-2014.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"bevolking;Europa;vrouw";Licence Ouverte (Etalab);nl;;2016-03-16T10:54:21+01:00;2018-01-07T23:51:39+01:00;2023-01-31T19:12:41.597000+01:00;Stad Brussel/Demografie;http://www.brussel.be/6104;;28;1722;0;8601;157;0;0;3.7;domain;True;manual
netheidscomites;False;Netheidscomités;<p>Informatie over de Netheidscomités van de Stad Brussel (naam Netheidscomité, naam ontvangststructuur, adres).</p>;Environnement, Propreté,Administration, Gouvernement, Finances publiques, Citoyenneté;comité;Licence Ouverte (Etalab);nl;;2016-03-14T11:19:40+01:00;2018-01-07T23:57:29+01:00;2023-01-31T19:12:41.164000+01:00;Stad Brussel/Netheid;http://www.brussel.be/4020;;11;2169;0;9322;163;0;0;3.8;domain;True;manual
top-100-des-livres-empruntes-par-bibliotheque-2015;False;Top 100 des livres empruntés par bibliothèque (2015);<p>Classement par bibliothèque des livres les plus empruntés dans les bibliothèques de la Ville de Bruxelles en 2015.</p>;Culture, Patrimoine, Folklore;"livre;lecture;bibliothèque; lecture publique";Licence Ouverte (Etalab);fr;;2016-03-16T15:09:21+01:00;2018-01-07T23:46:13+01:00;2023-01-31T19:12:42.019000+01:00;Ville de Bruxelles/Instruction publique;;;1600;262346;0;14683;206;0;0;4.7;domain;True;manual
subsides-octroyes-en-2019;False;Subsides octroyés en 2019;<p>Subsides octroyés par la Ville de Bruxelles en 2019</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;subsides;Licence Ouverte (Etalab);fr;;2020-02-11T10:10:56+01:00;2020-02-11T10:13:39+01:00;2023-01-31T19:12:44.725000+01:00;Ville de Bruxelles/Finances;;;1261;361996;0;11927;63;0;0;3.9;domain;True;manual
reparer-reutiliser-recycler-composter;False;Carte des ressources durables: Réparer, réutiliser, recycler, composter;"<p>Localisation des différents lieux de collecte d'objets réutilisables (vêtements, informatique, etc.); de déchets ( d'encombrants, DEE,  produits chimiques, etc.); de composts; de ventes de seconde main et de réparation de toutes sortes sur le territoire de la Ville de Bruxelles.</p>";Développement durable;"réparer;réutiliser;composter;recycler;don;donner;offrir;ressourcerie;donnerie;collecte;déchet;encombrant;informatique;vêtement;seconde main;proxy chimique;DEEE;pile;oxfam;propreté;repair café;retouche;vélo;Cordonnerie;bouchon";Licence Ouverte (Etalab);fr;;2019-03-06T16:17:38+01:00;;2023-01-31T19:12:43.096000+01:00;Ville de Bruxelles/Développement Durable;;;0;0;0;6722;974;0;0;4.3;domain;False;manual
parcours-bd-copie;False;Parcours BD – copie;<p>Localisation des murs (fresques) BD de la Ville de Bruxelles.</p>;Culture, Patrimoine, Folklore;"mur BD; bande dessinée; fresque; BD; parcours BD";Licence Ouverte (Etalab);fr;;2019-03-12T12:41:30+01:00;;2023-01-31T19:12:42.461000+01:00;Ville de Bruxelles/Cellule Web;http://www.bruxelles.be/5316;;0;0;0;32;0;0;6;0.2;domain;False;manual
conseil-communal-en-direct;False;Conseil communal en direct;<p>Le livestream du Conseil communal de la Ville de Bruxelles (également visible depuis la page d'accueil de bruxelles.be)</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"Conseil Communal;Livestream;Direct";Voir producteur;fr;;2019-07-02T11:58:42+02:00;2019-07-02T11:59:50+02:00;2023-01-31T19:12:43.741000+01:00;Ville de Bruxelles;;;1;73;0;8411;37;0;0;3.3;domain;True;manual
marches-ville-20210;False;Inventaris overheidsopdrachten 2021;"<p style=""font-family: sans-serif;""><span style=""font-size: 12.495px;"">Toegekende overheidsopdrachten van de Stad Brussel in 2020.</span></p><p style=""font-family: sans-serif;""><span style=""font-family: inherit;""> art 7, § 1 Ordonnance Transparence - Ordonnantie Transparantie 14/12/2017 - art. 6§1,4°  Ordonnance Publicité - Ordonnantie Openbaarheid 16/05/2019</span></p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"Openbare aanbesteding;overheidsopdracht;aankopen";;;;2022-03-18T16:27:05+01:00;2022-03-18T16:29:03+01:00;2023-01-31T19:12:46.361000+01:00;;;;1781;1054134;0;2794;4;0;0;1.8;domain;True;manual
subsides-subsidies-20210;False;Inventaris van de toegekende subsidies in 2021;<p>Subsidies toegekend door de Stad Brussel in 2021<br/></p>;Administration, Gouvernement, Finances publiques, Citoyenneté;subsides;;nl;;2022-03-18T16:33:19+01:00;2022-03-18T16:34:33+01:00;2023-01-31T19:12:46.395000+01:00;;;;1269;322651;0;3687;40;0;0;2.3;domain;True;manual
szp;False;SZP;<p>Special Zoning PLans (SZPs) of the City of Brussels</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"SZP;Urban Planning";;en;;2021-06-15T12:01:52+02:00;2021-06-15T12:01:52+02:00;2023-04-15T12:00:14.359000+02:00;City of Brussels/Ubran Planning;;;64;96445;0;15676;107;0;0;4.6;domain;True;scheduled
espaces-pour-chiens-et-espaces-interdits-aux-chiens;False;Espaces pour Chiens et espaces interdits aux Chiens;"<p><span style=""font-size: 12.495px;""><b>Espaces pour Chiens</b> (</span><span style=""font-family: Calibri, sans-serif; font-size: 11pt;"">espaces où les chiens
     peuvent courir en toute liberté, soit sans laisse) </span><span style=""font-family: inherit;"">et <b>espaces interdits aux Chiens </b>sur le territoire de la Ville de Bruxelles. Dans les autres espaces verts de la Ville, les chiens doivent être maintenus en laisse.</span></p>";chien,Environment, Cleanliness,Development durable,Sport, Leisure;"chien;dogzone;parc;espace vert";Licence Ouverte (Etalab);fr;;2023-04-16T23:00:03+02:00;2023-04-16T23:00:03+02:00;2023-04-16T23:00:04.003000+02:00;Ville de Bruxelles/Espaces verts;;;14;3801;0;109280;75;0;0;11.1;domain;True;scheduled
test-geojson-station-de-taxi;False;Standplaatsen taxi's;"<p>Locatie van de standplaatsen
voor taxi's op het grondgebied van het Brussels Hoofdstedelijk Gewest. (Bron:  <a href=""http://opendatastore.brussels/nl/"">http://opendatastore.brussels/nl/ </a>)</p>";Mobilité, Transports;taxi;Brussels OpenData License;nl;;2016-12-17T17:25:36+01:00;2018-01-08T00:02:21+01:00;2018-01-08T00:02:22+01:00;Brussel Mobiliteit;http://opendatastore.brussels/nl/dataset/taxi_stops_14;;146;32433;0;894079;422;0;0;31.6;domain;True;manual
bruxelles_parkings_publics;False;Parkings publics;"<p>
    Localisation des parkings publics payants sur le territoire de la Ville de Bruxelles.</p>";Mobilité, Transports;"parking;voiture";Brussels OpenData License;fr;;2019-05-15T14:28:44+02:00;2019-05-15T14:28:44+02:00;2023-01-31T19:11:47.013000+01:00;;https://www.bruxelles.be/parkings;;24;2283;0;12523123;1497;0;0;116.0;domain;True;manual
bruxelles_arbres_remarquables;False;Arbres remarquables;<p>Localisation des arbres remarquables sur le territoire de la Ville de Bruxelles.</p>;Environnement, Propreté;"nature; environnement; arbre; vert";Open Data Ville de Bruxelles;fr;;2014-04-06T08:20:44+02:00;2018-01-07T23:51:49+01:00;2023-01-31T19:11:47.630000+01:00;Direction des Monuments et Sites du Ministère de la Région de Bruxelles-Capitale;http://www.bruxelles.be/5869;;1047;336821;0;45323;706;0;0;8.3;domain;True;manual
bruxelles_theatres;False;Théâtres;<p>Salles de théâtre sur le territoire de la Ville de Bruxelles.</p>;Culture, Patrimoine, Folklore;"théâtre;culture";Licence Ouverte (Etalab);fr;;2017-03-23T20:48:15+01:00;2018-01-08T00:11:13+01:00;2023-01-31T19:11:48.653000+01:00;Ville de Bruxelles/Culture;http://www.bruxelles.be/5235;;20;5280;0;566201;264;0;0;25.1;domain;True;manual
wedstrijden;False;Wedstrijden;"<p>Dataset van de RSS-feeds van de wedstrijden op de website van de Stad Brussel:&nbsp;<a href=""http://www.brussel.be/artdet.cfm?function=rss&id=6314"" target=""_blank"">http://www.brussel.be/artdet.cfm?function=rss&id=6314</a></p>";Sport, Loisirs;"RSS;wedstrijd";Licence Ouverte (Etalab);nl;;2014-04-14T15:42:09+02:00;;2023-01-31T19:11:49.548000+01:00;Stad Brussel/Cel Web;http://www.brussel.be/6314;;0;0;0;5032;114;0;0;2.9;domain;True;manual
nederlandstalige-bibliotheken;False;Nederlandstalige bibliotheken;<p>Locatie van de Nederlandstalige bibliotheken van de Stad Brussel</p>;Culture, Patrimoine, Folklore;"bibliotheek;boek";Licence Ouverte (Etalab);nl;;2015-10-27T10:09:36+01:00;2019-05-15T11:57:04+02:00;2023-01-31T19:11:50.136000+01:00;;www.brussel.be/5798;;3;460;0;214586;189;0;0;15.7;domain;True;manual
toiletten;True;Openbare toiletten;<p>Locatie van de openbare toiletten op het grondgebied van de Stad Brussel.</p>;WC,Environnement, Propreté;"toilet;netheid";Licence Ouverte (Etalab);nl;;2023-01-29T00:00:03+01:00;2023-01-29T00:00:03+01:00;2023-01-31T19:11:50.283000+01:00;Stad Brussel/Dienst Netheid;;;75;27598;0;758241;312;0;0;29.0;domain;True;federated
parken;False;Parken;<p>Locatie van de parken op het grondgebied van de Stad Brussel.</p>;Environnement, Propreté;"park;natuur";Licence Ouverte (Etalab);nl;;2014-04-14T14:42:57+02:00;2018-01-08T00:07:30+01:00;2023-01-31T19:11:52.520000+01:00;Stad Brussel/Groene Ruimten;http://www.brussel.be/5443;;50;4026;0;847719;357;0;0;30.7;domain;True;manual
theaters;False;Theaters;<p>Locaties van de theaters op het grondgebied van de Stad Brussel.</p>;Culture, Patrimoine, Folklore;"theater;schouwburg";Licence Ouverte (Etalab);nl;;2017-03-23T20:48:40+01:00;2018-01-07T23:45:03+01:00;2023-01-31T19:11:55.069000+01:00;Stad Brussel/Cultuur;http://www.brussel.be/5235;;20;5280;0;1324043;221;0;0;37.9;domain;True;manual
plaatsen-met-openbare-internettoegang-poit;False;Plaatsen met openbare internettoegang (POIT);<p>Locatie van de Plaatsen met openbare internettoegang (POIT) van de Stad Brussel.</p>;Internet, TIC;"Internet;POIT;ICT";Licence Ouverte (Etalab);nl;;2014-04-14T14:59:35+02:00;2018-01-07T23:54:49+01:00;2023-01-31T19:11:54.376000+01:00;Stad Brussel/Cel Web;http://www.brussel.be/7129;;6;715;0;9655;151;0;0;3.8;domain;True;manual
opmerkelijke-bomen;False;Opmerkelijke bomen;<p>Locatie van de opmerkelijke bomen op het grondgebied van de Stad Brussel</p>;Environnement, Propreté;boom;Licence Ouverte (Etalab);nl;;2014-04-17T10:09:21+02:00;2018-01-07T23:55:33+01:00;2023-01-31T19:11:54.810000+01:00;Ministerie van het Brussels Hoofdstedelijk Gewest/Directie Monumenten en Landschappen;http://www.brussel.be/5869;;1049;176122;0;25751;602;0;0;6.5;domain;True;manual
theatres;False;Theatres;<p>Location of theatres on the territory of the City of Brussels</p>;Culture, Patrimoine, Folklore;"theatre;theater";Licence Ouverte (Etalab);en;;2017-03-23T20:48:30+01:00;2018-01-08T00:10:33+01:00;2023-01-31T19:11:56.878000+01:00;City of Brussels;http://www.brussels.be/5235;;20;5280;0;100313;219;0;0;11.0;domain;True;manual
monuments-commemoratifs-de-la-guerre-de-1914-1918;False;Monuments commémoratifs de la guerre de 1914-1918;<p>Monuments de la Ville de Bruxelles commémorant la Première Guerre mondiale.</p>;Culture, Patrimoine, Folklore;"histoire;patrimoine;1914-1918;statue;monument;buste;14-18;Première Guerre mondiale";Licence Ouverte (Etalab);fr;;2015-10-12T15:57:08+02:00;2018-01-07T23:58:05+01:00;2023-01-31T19:11:59.558000+01:00;Ville de Bruxelles/Patrimoine Historique;;;17;9624;0;155167;343;0;76;13.7;domain;True;manual
community-centres;True;Community centres;<p>Localisation of the community centres of the CPAS of Brussels</p>;Services, Social;Community centre;Licence Ouverte (Etalab);en;;2019-09-13T10:48:25+02:00;2021-06-01T14:13:29+02:00;2023-01-31T19:11:59.730000+01:00;CPAS of Brussels/Community centres;http://www.brussels.be/5220;;17;3807;0;35408;183;0;0;6.8;domain;True;federated
dutch-language-libraries;False;Dutch-language libraries;<p>Location of Dutch-language libraries of the City of Brussels.</p>;Culture, Patrimoine, Folklore;"library;book";Licence Ouverte (Etalab);en;;2014-04-14T13:30:21+02:00;2019-05-15T12:02:53+02:00;2023-01-31T19:12:02.182000+01:00;City of Brussels/Public Education;http://www.brussels.be/5798;;3;460;0;199161;154;0;0;15.0;domain;True;manual
parks;False;Parks;<p>Location of the parks and gardens on the territory of the City of Brussels.</p>;Environnement, Propreté;"park;public garden;green;nature";Licence Ouverte (Etalab);en;;2014-04-14T14:58:15+02:00;2018-01-07T23:43:17+01:00;2023-01-31T19:12:00.971000+01:00;City of Brussels/Green Spaces;http://www.brussels.be/5443;;50;4283;0;738597;336;0;0;28.7;domain;True;manual
municipal-contests;False;Municipal contests;"<p>RSS feeds of the municipal contests on the website of the City of Brussels:&nbsp;http://www.brussel.be/artdet.cfm?function=rss&id=6314</p>";Sport, Loisirs,Culture, Patrimoine, Folklore;contest;Licence Ouverte (Etalab);en;;2014-04-14T14:27:22+02:00;;2023-01-31T19:12:01.713000+01:00;City of Brussels;http://www.brussels.be/6314;;0;0;0;4949;103;0;0;2.8;domain;True;manual
cinemas;False;Cinemas;<p>Location of cinemas on the territory of the City of Brussels.</p>;Culture, Patrimoine, Folklore,Sport, Loisirs;"leisure;cinema;movie;film;theatre";Licence Ouverte (Etalab);en;;2014-04-14T13:20:39+02:00;2019-05-08T15:49:58+02:00;2023-01-31T19:12:02.005000+01:00;City of Brussels;http://www.brussels.be/5233;;8;894;0;269469;236;0;0;17.5;domain;True;manual
population-bruxelloise;False;Population bruxelloise;<p>Chiffres totaux (depuis 1921) de la population de la Ville de Bruxelles tels qu'enregistrés par le département Démographie.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"administration;population";Licence Ouverte (Etalab);fr;;2015-04-16T11:27:21+02:00;2018-01-07T23:44:55+01:00;2023-01-31T19:12:04.044000+01:00;Ville de Bruxelles/Démographie;;;94;1410;0;16197;229;0;0;4.9;domain;True;manual
gemeenteraadsverkiezingen-aantal-stemmen;False;Gemeenteraadsverkiezingen (aantal stemmen);"<p>Resultaten van de lokale verkiezingen in Brussel sinds
2000 (aantal stemmen per lijst).&nbsp;</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"gemeenteraad;verkiezing;stem";Licence Ouverte (Etalab);nl;;2014-04-08T13:41:33+02:00;2018-01-08T00:12:20+01:00;2023-01-31T19:12:10.449000+01:00;IBZ;http://www.elections.fgov.be;;33;1079;0;8580;181;0;0;3.7;domain;True;manual
kunsterfgoed-van-gewestwegen-fonteinen;False;Kunsterfgoed van gewestwegen - Fonteinen;"<p>Geografische inventarisatie van de fonteinen en de waterbekkens langs de
gewestwegen.</p>";Culture, Patrimoine, Folklore;fontein;Licence Ouverte (Etalab);nl;;2014-05-12T14:39:39+02:00;;2023-01-31T19:12:09.208000+01:00;Brussel Mobiliteit;;;0;0;0;3681;67;0;0;2.4;domain;True;manual
sans-nom0;False;Jeu de données des jeux de données;<p>Jeu de données des jeux de données de la plateforme Open Data de la Ville de Bruxelles.</p>;Internet, TIC;jeu de données;Licence Ouverte (Etalab);fr;;2015-11-30T13:38:48+01:00;2018-01-08T00:03:20+01:00;2023-01-31T19:12:12.576000+01:00;Ville de Bruxelles/Cellule Web Web;http://opendata.bruxelles.be;;384;166141;0;11173;170;63;0;4.1;domain;True;manual
elections-communales-pourcentages;False;Elections communales (pourcentages);<p>Résultat des élections communales à Bruxelles depuis 2000 (pourcentages des votes par liste).</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"élection;conseil communal";Licence Ouverte (Etalab);fr;;2014-04-07T08:14:08+02:00;2018-01-07T23:54:39+01:00;2023-01-31T19:12:10.120000+01:00;IBZ;http://www.elections.fgov.be;;33;1082;0;11806;167;0;0;4.2;domain;True;manual
bureaux-de-vote0;False;Bureaux de vote;<p>Localisation des bureaux de vote sur le territoire de la Ville de Bruxelles (Lambert 72).</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"élection;vote";Licence Ouverte (Etalab);fr;;2014-05-19T12:26:13+02:00;2018-01-07T23:53:52+01:00;2023-01-31T19:12:13.386000+01:00;Ville de Bruxelles/Démographie;;;99;18024;0;11216;190;0;0;4.2;domain;True;manual
municipal-elections-number-of-votes;False;Municipal elections (number of votes);"<p>Results of the local elections in Brussels since 2000
(number of votes per list).&nbsp;</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;election;Licence Ouverte (Etalab);en;;2014-04-17T10:04:16+02:00;2018-01-08T00:14:44+01:00;2023-01-31T19:12:10.742000+01:00;IBZ;http://www.elections.fgov.be;;33;1079;0;7888;166;0;0;3.6;domain;True;manual
updates-van-de-datasets;False;Updates van de datasets;"<p>RSS-feed met bijgewerkte datasets van het platform
opendata.brussel.be. :<a href=""http://opendata.brussel.be/api/datasets/1.0/search?format=rss&amp;sort;=modified"" target=""_blank"">opendata.brussel.be/api/datasets/1.0/search?format=rss&amp;sort;=modified</a></p>";Internet, TIC;"Open Data;RSS";Licence Ouverte (Etalab);nl;;;;2023-01-31T19:12:14.058000+01:00;Stad Brussel/Cel Web;;;0;0;0;5081;123;0;0;2.9;domain;True;manual
volgers-van-de-twitter-account;False;Volgers van de Twitter account;"<p>
    Volgers (followers) van de Twitter account in het Frans, Nederlands en Engels.</p>";Internet, TIC;"Twitter;follower;volger";Licence Ouverte (Etalab);nl;;2016-03-15T11:17:30+01:00;2018-01-08T00:15:33+01:00;2023-01-31T19:12:11.697000+01:00;Stad Brussel/Cel Web;http://www.brussel.be/5435;;54;1523;0;9745;176;0;0;3.9;domain;True;manual
nichoirs;False;Nichoirs;<p>Localisation des nichoirs installés par la Ville de Bruxelles.</p>;Environnement, Propreté;"nichoir;nid;oiseau";Licence Ouverte (Etalab);fr;;;2018-01-08T00:12:40+01:00;2023-01-31T19:12:13.831000+01:00;Ville de Bruxelles/Espaces verts;;;76;7040;0;12285;386;0;0;4.6;domain;True;manual
nestkasten;False;Nestkasten;<p>Locatie van de nestkastjes geplaatst in de Stad Brussel.</p>;Environnement, Propreté;"nestkast;nest;vogel;vogelhuis";Licence Ouverte (Etalab);nl;;;2018-01-07T23:55:58+01:00;2023-01-31T19:12:15.440000+01:00;Stad Brussel/Groene Ruimten;;;76;7040;0;11420;178;0;0;4.2;domain;True;manual
webcams0;False;Webcams;<p>Location of the permanent webcams that are accessible on the website of the City of Brussels.</p>;Internet, TIC;webcam;Licence Ouverte (Etalab);en;;2014-07-30T12:07:38+02:00;2018-01-08T00:15:20+01:00;2023-01-31T19:12:15.871000+01:00;City of Brussels/Web Unit;http://www.brussels.be/5676;;3;480;0;473117;389;0;0;23.2;domain;True;manual
voiries-regionales;False;Voiries régionales;"<p>Voiries gérées par la Région de Bruxelles-Capitale. Certaines voiries (chemins, rues, chaussées, avenues, boulevards, places…) sont situées sur le territoire de la Ville de Bruxelles (BXL); d'autres peuvent le jouxter.</p>";Mobilité, Transports;;Licence Ouverte (Etalab);fr;;2014-07-31T11:43:23+02:00;2018-01-08T00:04:26+01:00;2023-01-31T19:12:16.461000+01:00;Bruxelles Mobilité;http://www.bruxelles.irisnet.be/files-fr/mobilite/liste-des-voiries-regionales;;535;41769;0;43474;416;0;0;7.8;domain;True;manual
cemeteries;False;Cemeteries;<p>Cemeteries of the City of Brussels with the location of the entrance, opening days and hours and telephone numbers.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté,Environnement, Propreté;"cemetery;graveyard;churchyard;church yard";Licence Ouverte (Etalab);en;;2014-07-31T13:14:30+02:00;2018-01-07T23:49:55+01:00;2023-01-31T19:12:17.016000+01:00;City of Brussels/Green Spaces;http://www.bruxelles.be/5762;;4;546;0;60526;193;0;0;8.7;domain;True;manual
bxl_bourgmestres;False;Bourgmestres;<p>Bourgmestres de la Ville de Bruxelles avec la mention des dates de naissance et de décès, les dates du début de mandat et d''entrée en fonction de bourgmestre (ff), les dates des arrêtés royaux de nomination, des installations, des fins de fonction ou démissions.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"bourgmestre;mayorat";Licence Ouverte (Etalab);fr;;2014-09-05T12:53:02+02:00;2018-01-08T00:16:33+01:00;2023-01-31T19:12:18.340000+01:00;Ville de Bruxelles/Archives;http://www.bruxelles.be/4140;;27;4888;0;11185;170;0;106;4.1;domain;True;manual
begraafplaatsen;False;Begraafplaatsen;<p>Kerkhoven van de Stad Brussel met de locatie van de ingang, openingsdagen en -uren en telefoonnummers.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté,Environnement, Propreté;"kerkhof;begraafplaats";Licence Ouverte (Etalab);nl;;2014-07-31T13:14:30+02:00;2018-01-07T23:53:12+01:00;2023-01-31T19:12:16.789000+01:00;Stad Brussel/Groene Ruimten;http://www.brussel.be/5762;;4;530;0;128105;222;0;0;12.3;domain;True;manual
apotheken;False;Apotheken;<p>Locatie van de apotheken op het grondgebied van de Stad Brussel vanuit OpenStreetMap (OSM).</p>;Santé;"apotheek;gezondheid";Licence Ouverte (Etalab);nl;;2014-10-10T12:09:20+02:00;2018-01-07T23:57:43+01:00;2023-01-31T19:12:21.687000+01:00;OpenStreetMap;http://www.openstreetmap.org/#map=13/50.8430/4.3532;;77;15076;0;13087;221;0;0;4.5;domain;True;manual
pharmacies;False;Pharmacies;<p>Location of the pharmacies on the territory of the City of Brussels from OpenStreetMap (OSM).</p>;Santé;"health;pharmacy";Licence Ouverte (Etalab);en;;2014-10-10T12:09:20+02:00;2018-01-07T23:45:35+01:00;2023-01-31T19:12:21.650000+01:00;OpenStreetMap;http://www.openstreetmap.org/#map=13/50.8430/4.3532;;77;15076;0;15553;281;0;0;4.9;domain;True;manual
nursing-homes-for-elderly;False;Nursing homes for elderly;<p>Location and information of the rest homes (MR) and retirement and nursing homes (MRS)of the Public Welfare Centre (CPAS) of Brussels.</p>;Services, Social;"senior;CPAS;rest home;retirement";Licence Ouverte (Etalab);en;;2014-09-01T13:20:37+02:00;2018-01-07T23:44:29+01:00;2023-01-31T19:12:17.926000+01:00;CPAS;http://www.brussels.be/5423;;5;926;0;24671;206;0;0;5.8;domain;True;manual
habillages-de-manneken-pis;False;Habillages de Manneken-Pis;<p>Jours et heures d'habillage de Manneken-Pis (avec le nom du costume, sa référence, le contexte de cet habillage).</p>;Culture, Patrimoine, Folklore;"Manneken-Pis;folklore";Licence Ouverte (Etalab);fr;;2017-03-21T17:59:28+01:00;2018-01-07T23:57:46+01:00;2023-01-31T19:12:20.072000+01:00;Ville de Bruxelles/Culture;http://www.bruxelles.be/4328;;10;3087;0;10283;175;0;0;4.0;domain;True;manual
