Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/13).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/13).;2021-08-26;KOMPAN, Bosstraat 15, 8780 Oostrozebeke;1.604,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/16).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/16).;2021-08-26;ROBINIA, Noordlaan 94, 9200 Dendermonde;344,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/17).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/17).;2021-08-26;LIBRAPAY, steenweg op Deinze 191, 9810 Nazareth;2.553,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/20).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/20).;2021-08-26;KOMPAN, Bosstraat 15, 8780 Oostrozebeke;3.821,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but le débouchage d'urinoirs situés Putterie à 1000 Bruxelles (bon de commande n° 21-0500-462(u)).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de ontstopping van urinoirs in de Putterij te 1000 Brussel (bestelbon nr. 21-0500-462(u)).;2021-08-26;MAXI CLEANING, Lambroekstraat 9, 1930 Zaventem;338,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture de jeunes plants de fleurs d'été (bon de commande n° 21-0500-509).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering van jong plantgoed van zomerbloeiers (bestelbon nr. 21-0500-509).;2021-08-26;CLEROPLANT, Ilestraat 17, 9991 Maldegem;3.834,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture de jeunes plantules annuelles (bon de commande n° 21-0500-510).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering van jong éénjarig plantgoed (bestelbon nr. 21-0500-510).;2021-08-26;Ets Horticoles MAGUY, chemin des Verdillières 53, 17610 Chaniers (France);1.499,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la location de 9 doubles lave-mains portables avec entretien hebdomadaire (bon de commande n° 20-0500-601).- Dépense supplémentaire.;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de huur van 9 dubbele handwasunits met wekelijks onderhoud (bestelbon nr. 20-0500-601).- Meeruitgave.;2021-09-23;LIEKENS, Watering 11, 2370 Arendonk;1.312,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de travaux) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but le remplacement de deux portes sectionnelles au dépôt situé chemin du Croquet n° 2 à 1000 Bruxelles (bon de commande n° 21-0500-635).;Overheidsopdracht (voor werken) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de vervanging van twee sectionaalpoorten van de stelplaats gelegen Croquetweg nr. 2 te 1000 Brussel (bestelbon nr. 21-0500-635).;2021-09-23;L-DOOR, Denderstraat 29, 1770 Liedekerke;6.553,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public de travaux ayant pour but le réaménagement d’un caillebotis situé entre le Petit Chemin Vert et la rue de Ransbeek sur le territoire de la Ville de Bruxelles, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016 (cahier spécial des charges n° TV/2021/104/EV).;Overheidsopdracht voor werken met als doel de heraanleg van een knuppelpad gelegen tussen de Kleine Groeneweg en de Ransbeekstraat op het grondgebied van de Stad Brussel, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016 (bestek nr. TV/2021/104/EV).;2021-09-30;NATUUR- EN LANDSCHAPSZORG vzw, Steenstraat 25, 2180 Ekeren;70.533,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public de fournitures ayant pour but la fourniture et la plantation mécanique de diverses variétés de bulbes, conclu par procédure négociée sans publication préalable en application de l'article 42 § 1, 1° a) de la loi du 17/06/2016 (cahier spécial des charges n° TV/2021/163/EV).;Overheidsopdracht voor leveringen met als doel de levering en het machinaal planten van verschillende variëteiten bloembollen, gegund bij onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van het artikel 42 § 1, 1° a) van de wet van 17/06/2016 (bestek nr. TV/2021/163/EV).;2021-09-30;JUB Holland, Robijnslaan 43, 2211 TG Noordwijkerhout;79.911,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la réparation d'un urinoir situé rue des Artistes à 1020 Bruxelles (bon de commande n° 21-0500-370).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de herstelling van een urinoir in de Kunstenaarsstraat te 1020 Brussel (bestelbon nr. 21-0500-370).;2021-09-30;PROTECSAN, ZA de la Bare, 01480 CHALEINS (France);5.580,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but le dépannage du véhicule 1-AKK-523 (bon de commande n° 21-0500-610(u)).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel het takelen van het voertuig 1-AKK-523 (bestelbon nr. 21-0500-610(u)).;2021-09-30;DA.CAR, rue du Rupel 1, 1000 Bruxelles;1.015,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but le dépannage du véhicule YTP-735 (bon de commande n° 21-0500-611(u)).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel het takelen van het voertuig YTP-735 (bestelbon nr. 21-0500-611(u)).;2021-09-30;DA.CAR, rue du Rupel 1, 1000 Bruxelles;1.033,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la réparation d'un nettoyeur haute pression (bon de commande n° 21-0500-658).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de herstelling van een hogedrukreiniger (bestelbon nr. 21-0500-658).;2021-07-10;H.H. SERVICES (Hendrickx), Smaragdlaan 19, 1640 Sint-Genesius-Rode;1.353,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;"Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but l'entretien annuel du chariot élévateur
électrique TDV208 (bon de commande n° 21-0500-679).";Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel het jaarlijks onderhoud van de elektrische heftruck TDV208 (bestelbon nr. 21-0500-679).;2021-10-14;MOTRAC HANDLING & CLEANING, Noorderlaan 612, 2030 Antwerpen;402,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture de 2 blindages de fouille (bon de commande n° 21-0500-652).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering van 2 grafwandstutpanelen (bestelbon nr. 21-0500-652).;2021-10-21;INFRATECH SA, ZI Les Plénesses 73, 4890 Thimister-Clermont;12.014,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la réparation du véhicule immatriculé 1-YSE-169 (bon de commande n° 21-0500-753).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de herstelling van het voertuig met nummerplaat 1-YSE-169 (bestelbon nr. 21-0500-753).;2021-10-21;SCANIA BELGIUM, avenue Antoon Van Oss 1/28, 1120 Bruxelles;1.914,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public de travaux ayant pour but l'aménagement d'une nouvelle aire de jeux située avenue de Versailles à 1120 Bruxelles, conclu par procédure négociée directe avec publication préalable en application de l'article 41 de la loi du 17/06/2016 (cahier spécial des charges n° TV/2020/130/EV).- Dépense supplémentaire.;Overheidsopdracht voor werken met als doel de inrichting van een nieuw speelplein gelegen Versailleslaan te 1120 Brussel, gegund bij vereenvoudigde onderhandelingsprocedure met voorafgaande bekendmaking in toepassing van het artikel 41 van de wet van 17/06/2016 (bestek nr. TV/2020/130/EV).- Meeruitgave.;2021-10-29;EIBE B.V., Radonstraat 285, 2718 SV Zoetermeer (Nederland);907,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/26).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/26).;2021-10-29;KOMPAN, Bosstraat 15, 8780 Oostrozebeke;338,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/27).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/27).;2021-10-29;EIBE, Pastoor Claesenstraat 1, 2440 Geel;67,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la réparation du véhicule immatriculé 1-TSY-349 (bon de commande n° 21-0500-769).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de herstelling van het voertuig met nummerplaat 1-TSY-349 (bestelbon nr. 21-0500-769).;2021-10-29;WAF, Burchtstraat 200, 9150 Kruibeke;1.516,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture de plantes pour le parc Maximilien (bon de commande n° 21-0500-776).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering van planten voor het Maximiliaanpark (bestelbon nr. 21-0500-776).;2021-10-29;BOOT & DART bvba, Prins Boudewijnlaan 24C, 2650 Kontich;16.872,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de travaux) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but le remplacement d'un compteur électrique situé rue du Bruel 82 à 1130 Bruxelles (bon de commande n° 21-0500-777).;Overheidsopdracht (voor werken) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de vervanging van een elektriciteitsmeter Bruulstraat 82 te 1130 Brussel (bestelbon nr. 21-0500-777).;2021-10-29;SIBELGA, quai des Usines 16, 1000 Bruxelles;1.845,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de travaux) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la finition de la dalle en béton de la cour intérieure du département Travaux de Voirie située quai de la Voirie 1 à 1000 Bruxelles (bon de commande n° 21-0500-778).;Overheidsopdracht (voor werken) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de afwerking van de betonplaat van de binnenplaats van het departement Wegeniswerken gelegen Ruimingskaai 1 te 1000 Brussel (bestelbon nr. 21-0500-778).;2021-10-29;ROOS GROEP, De Brulen 45, 2370 Arendonk;3.902,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;"Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but le transport en urgence de l'équipe de basket-ball ""Phoenix Brussels"" (bon de commande n° 21-0500-785(u)).";"Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel het dringend vervoer van het basketbalteam ""Phoenix Brussels"" (bestelbon nr. 21-0500-785(u)).";2021-10-29;EUROBUSSING BRUSSELS, avenue de Béjar 5, 1120 Bruxelles;1.939,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;"Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but le service traiteur pour la réception
de la cérémonie ""Fleurir Bruxelles"" le 29/10/2021 (bon de commande n° 21-0500-770).";"Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de traiteurdienst voor de receptie van de ceremonie ""Brussel in de Bloemen"" op 29/10/2021 (bestelbon nr. 21-0500-770).";2021-10-11;SLURPS BIO TRAITEUR, rue Dautzenberg 7, 1050 Bruxelles;1.390,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture de plantes pour le parc de Bruxelles (bon de commande n° 21-0500-774).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering van planten voor het Warandepark (bestelbon nr. 21-0500-774).;2021-10-11;BOOT & DART bvba, Prins Boudewijnlaan 24C, 2650 Kontich;31.403,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but un service traiteur à l'hôtel de ville de Bruxelles le 27/11/2021 (bon de commande n° 21-0500-781).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel een traiteurdienst voor het stadhuis van Brussel op 27/11/2021 (bestelbon nr. 21-0500-781).;2021-10-11;Biorganic Events SRL, chaussée de Ruisbroek 81, 1190 Bruxelles;4.910,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de travaux) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture et la pose d'un système de vidéophonie et contrôle d'accès pour le complexe horticole à Sterrebeek (bon de commande n° 21-0500-794).;Overheidsopdracht (voor werken) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering en installatie van een video-intercom- en toegangscontrolesysteem voor het tuinbouwcomplex te Sterrebeek (bestelbon nr. 21-0500-794).;2021-10-11;Begelec Security Systems BV, Wijmenier 4A, 1700 Sint-Martens-Bodegem;12.379,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la réparation du véhicule immatriculé 1-LLT-801 (bon de commande n° 21-0500-814).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de herstelling van het voertuig met nummerplaat 1-LLT-801 (bestelbon nr. 21-0500-814).;2021-10-11;Truck Service Londerzeel B.V., Nijverheidsstraat 18, 1840 Londerzeel;1.027,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de travaux) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but l'installation d'un système d'appel via micro dans le bâtiment principal du département Travaux de Voirie situé quai de la Voirie 1 à 1000 Bruxelles (bon de commande n° 21-0500-823).;Overheidsopdracht (voor werken) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de installatie van een oproepsysteem via microfoon in het hoofdgebouw van het departement Wegeniswerken gelegen Ruimingskaai 1 te 1000 Brussel (bestelbon nr. 21-0500-823).;2021-11-18;BODET BELGIQUE, avenue Pasteur 19, 1300 Wavre;12.840,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de services) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/35).;Overheidsopdracht (voor diensten) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/35).;2021-02-12;WIRELESSVALUE, Waanderweg 30a, 7812 HZ Emmen (Nederland);1.210,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but les réparations urgentes d'engins de jeux et d'infrastructures ludosportives et acquisition de pièces détachées pour réparations urgentes (bon de commande n° TV/2021/28-EV/39).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de dringende herstellingen van speeltoestellen en speel-en sportinfrastructuren en de aankoop van wisselstukken voor dringende herstellingen (bestelbon nr. TV/2021/28-EV/39).;2021-02-12;ALLIMEX, Mijnwerkerslaan 33/3, 3550 Heusden-Zolder;2.949,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;"Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture de mobiliers urbains ludiques en béton (""blocs lego"") (bon de commande n° 20-0500-368).- Dépense supplémentaire.";"Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering van gezellig straatmeubilair in beton (""lego-blokken"") (bestelbon nr. 20-0500-368).- Meeruitgave.";2021-09-12;EBEMA, Dijkstraat 3, 3690 Zutendaal;587,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public (de fournitures) de faible montant, en application de l'article 92 de la loi du 17/06/2016, ayant pour but la fourniture de 10.000 sachets à fermeture par pression (bon de commande n° 21-0500-916).;Overheidsopdracht (voor leveringen) van beperkte waarde, in toepassing van het artikel 92 van de wet van 17/06/2016, met als doel de levering van 10.000 plastic zakjes met drukdichting (bestelbon nr. 21-0500-916).;2021-09-12;KAISER + KRAFT, J. Emiel Mommaertslaan 20B bus 2, 1831 Diegem;1.038,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travaux de Voirie / Wegeniswerken;Marché public de travaux à bordereau de prix et reconductible jusqu’à deux reprises, relatif à la signalisation routière non lumineuse ayant pour but, pendant 24 mois, d’une part l’inventorisation, le démontage et l'enlèvement et d’autre part la fourniture, la pose et le montage et les travaux d’entretien et de maintenance des signaux routiers le long des voiries gérées par la Ville de Bruxelles, conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier spécial des charges n° TV/2021/94/EP).;Overheidsopdracht voor werken tegen prijslijst en tot twee maal verlengbaar, met betrekking tot de niet verlichte wegsignalisatie met als voorwerp, gedurende een periode van 24 maand, enerzijds de inventarisatie, de ontmanteling en het weghalen en anderzijds het leveren, het plaatsen en het monteren, de onderhouds- en instandhoudingswerken van de verkeerstekens langs de wegen beheerd door de Stad Brussel, gegund bij openbare procedure in toepassing van het artikel 36 § 1 van de wet van 17/06/2016 (bestek nr. TV/2021/94/EP).;2021-12-16;SIGN UP/ARDENNES CLOTURES SA, rue de la Filature 18, 1070 Bruxelles;1.035.479,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
